Номер,Модуль,Предусловие,Вводимые значения,ОР,ФР,Статус
,Name ,Все остальные поля должны быть заполнены валидными данными,,,,
,,,,Пустое поле не пройдет валидацию,,Passed
,,,,"Поле отмечено звездочкой, так как обязательно к заполнению",Поле не отмечено звездочкой,Failed
,,,,Отсутствует ховер эффект при наведении,,Passed
,,,,Пропадает плейсхолдер при ховере,,Passed
,,,,Пропадает плейсхолдер в фокусе,Плейсхолдер при фокусе не пропадает,Failed
,,,,В фокусе появляется синий бордер у поля,,Passed
,,,,При перезагрузке страницы данные не сохраняются в поле,,Passed
,,,,Можно после написания удалить посимвольно с конца строки,,Passed
,,,,Можно после написания перейти курсором к середине строки и скорректировать данные. И также сделать это клавишами управления с клавиатуры,,Passed
,,,,При нажатии на enter осуществляется отправка формы,,Passed
,,,,"При нажатии на tab переходит к следующему полю, сохраняя при этом данные",,Passed
,,,,В поле есть левый и правый паддинг при заполнении текстом,,Passed
,,,Marta,На латинице поле проходит валидацию,,Passed
,,,Марта,На кирилице поле не проходит валидацию,Поле проходит валидацию на кирилице,Failed 
,,,,"При переполненнии поля текстом оно не растягивается, видны последние вводимые символы",,Passed
,,,"Name: Marta
Surname: Marta",Введенное имя аналогичное фамилии не проходит валидацию,Введенное имя аналогичное фамилии прошло валидацию,Failed 
,,,M,"Ввести 1 символ (латиница), поле не пройдет валидацию",,Passed
,,,Ma,"Ввести 2 символа (латиница), поле пройдет валидацию",При вводе 2-х символов на латинице поле не проходит валидацию,Failed 
,,,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliqu","Ввести 127 символов, поле пройдет валидацию",При вводе 127-и символов на латинице поле не проходит валидацию,Failed 
,,,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliqua","Ввести 128 символов (латин.), поле пройдет валидацию",При вводе 128-и символов на латинице поле не прошло валидацию,Failed 
,,,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam","При вводе имени в 129 символов, поле не пройдет валидацию",,Passed
,,,Mar,"Ввести 3 символа (латиница), поле пройдет валидацию",При вводе 3-х символов на латинице поле не прошло валидацию,Failed 
,,,Mart,"Ввести 4 символа (латиница), поле пройдет валидацию",,Passed
,,,Lorem-ipsum-dolor-sit-ametd-consectetuer-adipiscing-elitr-sed-diam-nonummy-nibhf,"Ввести 80 символов, поле пройдет валидацию",Поле не прошло валидацию при имени длинной в 80 символов,Failed 
,,,Lorem-ipsum-dolor-sit-ametd-consectetuer,"Ввести 40 символов, поле пройдет валидацию",Поле не прошло валидацию,Failed 
,,,Lorem-ipsum-dolor-si,"Ввести 20 символов, поле пройдет валидацию",,Passed
,,,Lorem-ipsum-dolor-sit-ametd-co,"Ввести 30 символов, поле пройдет валидацию","При вводе 30-ти символов, поле не прошло валидацию",Failed 
,,,Lorem-ipsum-dolor-sit-ame,"Ввести 25 символов, поле пройдет валидацию",,Passed
,,,Lorem-ipsum-dolor-sit-ametdt,"Ввести 28 символов, поле пройдет валидацию",Поле не прошло валидацию,Failed 
,,,Lorem-ipsum-dolor-sit-amet,"Ввести 26 символов, поле пройдет валидацию",Поле не прошло валидацию,Passed
,,,Mar-ta,"Ввести name с тире в середине строки, поле пройдет валидацию",,Passed
,,,Mar_ta,"Ввести name с нижним подчеркиванием в середине строки, поле пройдет валидацию",,Passed
,,,Mar.ta,"Ввести name с точкой в середине строки, поле пройдет валидацию",,Passed
,,,M.ar-t_a,"Ввести name с тире, нижним подчеркиванием и точкой поочередно с буквами, поле пройдет валидацию",,Passed
,,,Mar!ta,"Ввести name с восклицательным знаком в середине строки, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,Mar?ta,"Ввести name со знаком вопроса в середине строки, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,"Mar,ta","Ввести name с запятой в середине строки, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,Mar$ta,"Ввести name со знаком доллара в середине строки, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,Mar%ta,"Ввести name с процентом в середине строки, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,Mar@ta,"Ввести name с собакой в середине строки, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,Mar*ta,"Ввести name со звездочкой в середине строки, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,Mar#ta,"Ввести name с решеткой в середине строки, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,Mar&ta,"Ввести name с амперсанд в середине строки, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,.Marta,"Ввести точку в начале строки, далее валидные данные",Поле прошло валидацию,Failed 
,,,-Marta,"Ввести тире в начале строки, далее валидные данные",Поле прошло валидацию,Failed 
,,,_Marta,"Ввести нижнее подчеркивание в начале строки, далее валидные данные",Поле прошло валидацию,Failed 
,,,Marta.,"После ввода валидного имени указать точку, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,Marta-,"После ввода валидного имени указать тире, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,Marta_,"После ввода валидного имени указать нижнее подчеркивание, поле не пройдет валидацию",Поле прошло валидацию,Failed 
